fecha-refinada,Viviendas
2008/01/01,50337
2008/02/01,52401
2008/03/01,62960
2008/04/01,45681
2008/05/01,58400
2008/06/01,63968
2008/07/01,54695
2008/08/01,38453
2008/09/01,47234
2008/10/01,35187
2008/11/01,27224
2008/12/01,27091
2009/01/01,33887
2009/02/01,31949
2009/03/01,37139
2009/04/01,31605
2009/05/01,32945
2009/06/01,31923
2009/07/01,38323
2009/08/01,22534
2009/09/01,22667
2009/10/01,28472
2009/11/01,24095
2009/12/01,21016
2010/01/01,22857
2010/02/01,23404
2010/03/01,17568
2010/04/01,24950
2010/05/01,20894
2010/06/01,20385
2010/07/01,21103
2010/08/01,9405
2010/09/01,11998
2010/10/01,16981
2010/11/01,13923
2010/12/01,15104
2011/01/01,9925
2011/02/01,8912
2011/03/01,11802
2011/04/01,12643
2011/05/01,8494
2011/06/01,9678
2011/07/01,13066
2011/08/01,5970
2011/09/01,10282
2011/10/01,15496
2011/11/01,6998
2011/12/01,7777
2012/01/01,5784
2012/02/01,7312
2012/03/01,7466
2012/04/01,6764
2012/05/01,6637
2012/06/01,7348
2012/07/01,8689
2012/08/01,3013
2012/09/01,5138
2012/10/01,6681
2012/11/01,7834
2012/12/01,7417
2013/01/01,3263
2013/02/01,3071
2013/03/01,4251
2013/04/01,3525
2013/05/01,4034
2013/06/01,3871
2013/07/01,4062
2013/08/01,2546
2013/09/01,2744
2013/10/01,4278
2013/11/01,3611
2013/12/01,3974
2014/01/01,3164
2014/02/01,3643
2014/03/01,3266
2014/04/01,2692
2014/05/01,3168
2014/06/01,3289
2014/07/01,2907
2014/08/01,1901
2014/09/01,2090
2014/10/01,3029
2014/11/01,2923
2014/12/01,3154
2015/01/01,2604
2015/02/01,2745
2015/03/01,2734
2015/04/01,3492
2015/05/01,2930
2015/06/01,3407
2015/07/01,4667
2015/08/01,2832
2015/09/01,3058
